Date,Commodity,Wholesale,Retail,Landing
11/25/2024,Kamote,30.00,35.00,32.00
11/25/2024,Karlang,50.00,70.00,34.00
11/25/2024,Cassava,20.00,30.00,18.00
11/24/2024,Gabi (bisol),50.00,70.00,20.00
11/24/2024,Kamote,28.00,40.00,32.00
11/24/2024,Karlang,55.00,70.00,34.00
11/24/2024,Cassava,15.00,20.00,18.00
11/23/2024,Gabi (bisol),50.00,60.00,20.00
11/23/2024,Kamote,29.00,35.00,32.00
11/23/2024,Karlang,50.00,70.00,34.00
11/23/2024,Cassava,15.00,20.00,18.00
11/22/2024,Gabi (bisol),35.00,60.00,20.00
11/22/2024,Kamote,20.00,40.00,32.00
11/22/2024,Karlang,20.00,65.00,34.00
11/22/2024,Cassava,15.00,20.00,18.00
11/21/2024,Gabi (bisol),40.00,50.00,20.00
11/21/2024,Kamote,25.00,35.00,32.00
11/21/2024,Karlang,30.00,70.00,34.00
11/21/2024,Cassava,15.00,20.00,18.00
11/20/2024,Gabi (bisol),45.00,60.00,19.00
11/20/2024,Kamote,25.00,35.00,32.00
11/20/2024,Karlang,35.00,65.00,34.00
11/20/2024,Cassava,15.00,20.00,18.00
11/19/2024,Gabi (bisol),50.00,60.00,19.00
11/19/2024,Kamote,25.00,40.00,32.00
11/19/2024,Karlang,35.00,70.00,34.00
11/19/2024,Cassava,15.00,20.00,18.00
11/18/2024,Gabi (bisol),55.00,60.00,19.00
11/18/2024,Kamote,30.00,35.00,32.00
11/18/2024,Karlang,35.00,65.00,34.00
11/18/2024,Cassava,15.00,20.00,18.00
11/17/2024,Gabi (bisol),45.00,60.00,19.00
11/17/2024,Kamote,30.00,35.00,32.00
11/17/2024,Karlang,55.00,65.00,34.00
11/17/2024,Cassava,12.00,20.00,18.00
11/16/2024,Gabi (bisol),45.00,55.00,21.00
11/16/2024,Kamote,30.00,35.00,32.00
11/16/2024,Karlang,50.00,70.00,34.00
11/16/2024,Cassava,12.00,20.00,19.00
11/15/2024,Gabi (bisol),55.00,60.00,21.00
11/15/2024,Kamote,30.00,35.00,32.00
11/15/2024,Karlang,40.00,65.00,34.00
11/15/2024,Cassava,12.00,20.00,19.00
11/14/2024,Gabi (bisol),55.00,60.00,21.00
11/14/2024,Kamote,30.00,35.00,32.00
11/14/2024,Karlang,40.00,65.00,34.00
11/14/2024,Cassava,12.00,20.00,19.00
11/13/2024,Gabi (bisol),60.00,65.00,21.00
11/13/2024,Kamote,30.00,35.00,35.00
11/13/2024,Karlang,40.00,60.00,35.00
11/13/2024,Cassava,15.00,20.00,19.00
11/12/2024,Gabi (bisol),60.00,65.00,21.00
11/12/2024,Kamote,30.00,35.00,32.00
11/12/2024,Karlang,40.00,65.00,34.00
11/12/2024,Cassava,15.00,20.00,19.00
11/11/2024,Gabi (bisol),65.00,65.00,22.00
11/11/2024,Kamote,30.00,35.00,32.00
11/11/2024,Karlang,45.00,55.00,34.00
11/11/2024,Cassava,10.00,20.00,19.00
11/10/2024,Gabi (bisol),45.00,50.00,21.00
11/10/2024,Kamote,30.00,35.00,32.00
11/10/2024,Karlang,45.00,60.00,35.00
11/10/2024,Cassava,10.00,20.00,20.00
11/9/2024,Gabi (bisol),45.00,50.00,21.00
11/9/2024,Kamote,30.00,40.00,32.00
11/9/2024,Karlang,50.00,60.00,34.00
11/9/2024,Cassava,10.00,20.00,19.00
11/8/2024,Gabi (bisol),30.00,50.00,21.00
11/8/2024,Kamote,25.00,35.00,32.00
11/8/2024,Karlang,25.00,60.00,34.00
11/8/2024,Cassava,10.00,20.00,19.00
11/7/2024,Gabi (bisol),35.00,50.00,21.00
11/7/2024,Kamote,30.00,35.00,32.00
11/7/2024,Karlang,30.00,60.00,34.00
11/7/2024,Cassava,10.00,20.00,19.00
11/6/2024,Gabi (bisol),35.00,50.00,21.00
11/6/2024,Kamote,30.00,37.50,32.00
11/6/2024,Karlang,45.00,60.00,34.00
11/6/2024,Cassava,10.00,20.00,19.00
11/5/2024,Gabi (bisol),35.00,50.00,21.00
11/5/2024,Kamote,30.00,40.00,32.00
11/5/2024,Karlang,45.00,60.00,34.00
11/5/2024,Cassava,10.00,20.00,19.00
11/4/2024,Gabi (bisol),35.00,50.00,19.00
11/4/2024,Kamote,30.00,35.00,35.00
11/4/2024,Karlang,45.00,60.00,34.00
11/4/2024,Cassava,10.00,18.00,19.00
11/3/2024,Gabi (bisol),25.00,50.00,19.00
11/3/2024,Kamote,20.00,35.00,35.00
11/3/2024,Karlang,35.00,60.00,34.00
11/3/2024,Cassava,10.00,20.00,19.00
11/2/2024,Gabi (bisol),25.00,60.00,19.00
11/2/2024,Kamote,20.00,40.00,35.00
11/2/2024,Karlang,35.00,60.00,34.00
11/2/2024,Cassava,10.00,20.00,19.00
11/1/2024,Gabi (bisol),25.00,50.00,19.00
11/1/2024,Kamote,20.00,35.00,35.00
11/1/2024,Karlang,35.00,60.00,34.00
11/1/2024,Cassava,10.00,20.00,19.00
10/31/2024,Gabi (bisol),30.00,50.00,19.00
10/31/2024,Kamote,20.00,35.00,35.00
10/31/2024,Karlang,40.00,55.00,34.00
10/31/2024,Cassava,18.00,20.00,19.00
10/30/2024,Gabi (bisol),30.00,55.00,19.00
10/30/2024,Kamote,20.00,40.00,33.00
10/30/2024,Karlang,40.00,60.00,33.00
10/30/2024,Cassava,18.00,20.00,19.00
10/29/2024,Gabi (bisol),30.00,55.00,19.00
10/29/2024,Kamote,20.00,40.00,33.00
10/29/2024,Karlang,40.00,60.00,33.00
10/29/2024,Cassava,18.00,20.00,19.00
10/28/2024,Gabi (bisol),30.00,50.00,19.00
10/28/2024,Kamote,25.00,35.00,33.00
10/28/2024,Karlang,30.00,50.00,33.00
10/28/2024,Cassava,18.00,20.00,19.00
10/27/2024,Gabi (bisol),30.00,50.00,19.00
10/27/2024,Kamote,25.00,42.50,33.00
10/27/2024,Karlang,30.00,60.00,33.00
10/27/2024,Cassava,18.00,20.00,20.00
10/26/2024,Gabi (bisol),30.00,50.00,19.00
10/26/2024,Kamote,25.00,35.00,33.00
10/26/2024,Karlang,30.00,50.00,33.00
10/26/2024,Cassava,18.00,20.00,20.00
10/25/2024,Gabi (bisol),30.00,50.00,19.00
10/25/2024,Kamote,25.00,35.00,33.00
10/25/2024,Karlang,30.00,60.00,33.00
10/25/2024,Cassava,18.00,20.00,20.00
10/24/2024,Gabi (bisol),30.00,50.00,19.00
10/24/2024,Kamote,25.00,35.00,33.00
10/24/2024,Karlang,30.00,60.00,33.00
10/24/2024,Cassava,18.00,20.00,20.00
10/23/2024,Gabi (bisol),30.00,50.00,19.00
10/23/2024,Kamote,25.00,35.00,33.00
10/23/2024,Karlang,30.00,60.00,33.00
10/23/2024,Cassava,18.00,20.00,20.00
11/22/2024,Gabi (bisol),30.00,50.00,19.00
11/22/2024,Kamote,30.00,35.00,33.00
11/22/2024,Karlang,25.00,60.00,33.00
11/22/2024,Cassava,18.00,20.00,20.00
10/21/2024,Gabi (bisol),35.00,50.00,19.00
10/21/2024,Kamote,30.00,40.00,33.00
10/21/2024,Karlang,40.00,60.00,33.00
10/21/2024,Cassava,18.00,20.00,20.00
11/20/2024,Gabi (bisol),35.00,50.00,22.00
11/20/2024,Kamote,35.00,35.00,33.00
11/20/2024,Karlang,55.00,65.00,30.00
11/20/2024,Cassava,18.00,20.00,20.00
10/19/2024,Gabi (bisol),35.00,50.00,22.00
10/19/2024,Kamote,35.00,60.00,33.00
10/19/2024,Karlang,55.00,65.00,30.00
10/19/2024,Cassava,18.00,20.00,24.00
10/18/2024,Gabi (bisol),35.00,50.00,22.00
10/18/2024,Kamote,30.00,35.00,33.00
10/18/2024,Karlang,40.00,60.00,30.00
10/18/2024,Cassava,10.00,20.00,22.00
10/17/2024,Gabi (bisol),35.00,50.00,22.00
10/17/2024,Kamote,35.00,35.00,33.00
10/17/2024,Karlang,40.00,60.00,30.00
10/17/2024,Cassava,10.00,20.00,20.00
10/16/2024,Gabi (bisol),35.00,50.00,22.00
10/16/2024,Kamote,35.00,35.00,25.00
10/16/2024,Karlang,45.00,65.00,30.00
10/16/2024,Cassava,10.00,20.00,20.00
10/15/2024,Gabi (bisol),35.00,50.00,22.00
10/15/2024,Kamote,35.00,40.00,33.00
10/15/2024,Karlang,40.00,65.00,30.00
10/15/2024,Cassava,10.00,20.00,20.00
10/14/2024,Gabi (bisol),35.00,55.00,22.00
10/14/2024,Kamote,35.00,40.00,33.00
10/14/2024,Karlang,40.00,65.00,30.00
10/14/2024,Cassava,10.00,20.00,20.00
10/13/2024,Gabi (bisol),45.00,60.00,22.00
10/13/2024,Kamote,30.00,35.00,33.00
10/13/2024,Karlang,65.00,70.00,30.00
10/13/2024,Cassava,18.00,20.00,20.00
10/12/2024,Gabi (bisol),50.00,60.00,22.00
10/12/2024,Kamote,50.00,55.00,33.00
10/12/2024,Karlang,60.00,70.00,30.00
10/12/2024,Cassava,18.00,20.00,20.00
10/11/2024,Gabi (bisol),35.00,50.00,20.00
10/11/2024,Kamote,35.00,50.00,33.00
10/11/2024,Karlang,40.00,65.00,30.00
10/11/2024,Cassava,10.00,18.00,23.00
10/10/2024,Gabi (bisol),35.00,55.00,20.00
10/10/2024,Kamote,35.00,50.00,33.00
10/10/2024,Karlang,40.00,70.00,30.00
10/10/2024,Cassava,10.00,18.00,23.00
10/9/2024,Gabi (bisol),35.00,60.00,20.00
10/9/2024,Kamote,35.00,60.00,33.00
10/9/2024,Karlang,40.00,70.00,30.00
10/9/2024,Cassava,10.00,18.00,23.00
10/8/2024,Gabi (bisol),35.00,60.00,20.00
10/8/2024,Kamote,35.00,50.00,33.00
10/8/2024,Karlang,45.00,70.00,30.00
10/8/2024,Cassava,10.00,20.00,23.00
10/7/2024,Gabi (bisol),40.00,60.00,20.00
10/7/2024,Kamote,40.00,60.00,33.00
10/7/2024,Karlang,40.00,70.00,30.00
10/7/2024,Cassava,12.00,20.00,23.00
10/6/2024,Gabi (bisol),50.00,60.00,20.00
10/6/2024,Kamote,45.00,60.00,33.00
10/6/2024,Karlang,45.00,70.00,30.00
10/6/2024,Cassava,18.00,20.00,23.00
10/5/2024,Gabi (bisol),50.00,60.00,20.00
10/5/2024,Kamote,50.00,60.00,33.00
10/5/2024,Karlang,45.00,70.00,30.00
10/5/2024,Cassava,15.00,20.00,23.00
10/4/2024,Gabi (bisol),40.00,55.00,20.00
10/4/2024,Kamote,40.00,50.00,33.00
10/4/2024,Karlang,40.00,65.00,28.00
10/4/2024,Cassava,15.00,18.00,25.00
10/3/2024,Gabi (bisol),40.00,60.00,20.00
10/3/2024,Kamote,40.00,55.00,33.00
10/3/2024,Karlang,40.00,70.00,30.00
10/3/2024,Cassava,15.00,18.00,23.00
10/2/2024,Gabi (bisol),40.00,60.00,20.00
10/2/2024,Kamote,40.00,60.00,33.00
10/2/2024,Karlang,40.00,70.00,30.00
10/2/2024,Cassava,12.00,18.00,23.00
10/1/2024,Gabi (bisol),40.00,60.00,20.00
10/1/2024,Kamote,40.00,50.00,33.00
10/1/2024,Karlang,40.00,67.50,29.00
10/1/2024,Cassava,15.00,19.00,23.00
9/30/2024,Gabi (bisol),50.00,60.00,20.00
9/30/2024,Kamote,50.00,50.00,33.00
9/30/2024,Karlang,15.00,70.00,29.00
9/30/2024,Cassava,15.00,20.00,23.00
9/29/2024,Gabi (bisol),50.00,60.00,20.00
9/29/2024,Kamote,35.00,50.00,33.00
9/29/2024,Karlang,50.00,65.00,29.00
9/29/2024,Cassava,15.00,20.00,23.00
9/28/2024,Gabi (bisol),50.00,60.00,20.00
9/28/2024,Kamote,40.00,50.00,33.00
9/28/2024,Karlang,55.00,70.00,29.00
9/28/2024,Cassava,15.00,20.00,23.00
9/27/2024,Gabi (bisol),50.00,60.00,20.00
9/27/2024,Kamote,35.00,55.00,33.00
9/27/2024,Karlang,50.00,70.00,30.00
9/27/2024,Cassava,15.00,18.00,23.00
9/25/2024,Gabi (bisol),50.00,60.00,20.00
9/25/2024,Kamote,35.00,55.00,33.00
9/25/2024,Karlang,50.00,70.00,29.00
9/25/2024,Cassava,15.00,20.00,23.00
9/24/2024,Gabi (bisol),50.00,60.00,20.00
9/24/2024,Kamote,35.00,40.00,33.00
9/24/2024,Karlang,40.00,60.00,29.00
9/24/2024,Cassava,15.00,18.00,23.00
9/23/2024,Gabi (bisol),45.00,50.00,20.00
9/23/2024,Kamote,35.00,40.00,33.00
9/23/2024,Karlang,40.00,60.00,29.00
9/23/2024,Cassava,15.00,18.00,23.00
9/22/2024,Gabi (bisol),50.00,60.00,19.00
9/22/2024,Kamote,35.00,40.00,33.00
9/22/2024,Karlang,45.00,60.00,29.00
9/22/2024,Cassava,15.00,18.00,23.00
9/21/2024,Gabi (bisol),50.00,50.00,20.00
9/21/2024,Kamote,35.00,40.00,33.00
9/21/2024,Karlang,55.00,60.00,29.00
9/21/2024,Cassava,15.00,18.00,23.00
9/20/2024,Gabi (bisol),50.00,50.00,20.00
9/20/2024,Kamote,35.00,40.00,30.00
9/20/2024,Karlang,45.00,60.00,29.00
9/20/2024,Cassava,15.00,18.00,25.00
9/19/2024,Gabi (bisol),50.00,50.00,20.00
9/19/2024,Kamote,35.00,40.00,33.00
9/19/2024,Karlang,45.00,60.00,29.00
9/19/2024,Cassava,15.00,18.00,23.00
9/18/2024,Gabi (bisol),50.00,60.00,20.00
9/18/2024,Kamote,45.00,50.00,30.00
9/18/2024,Karlang,40.00,60.00,29.00
9/18/2024,Cassava,15.00,18.00,25.00
9/17/2024,Gabi (bisol),50.00,55.00,20.00
9/17/2024,Kamote,35.00,40.00,30.00
9/17/2024,Karlang,40.00,60.00,29.00
9/17/2024,Cassava,15.00,18.00,25.00
9/16/2024,Gabi (bisol),35.00,50.00,20.00
9/16/2024,Kamote,40.00,45.00,30.00
9/16/2024,Karlang,25.00,60.00,29.00
9/16/2024,Cassava,18.00,18.00,25.00
9/15/2024,Gabi (bisol),35.00,50.00,20.00
9/15/2024,Kamote,40.00,40.00,30.00
9/15/2024,Karlang,25.00,50.00,23.00
9/15/2024,Cassava,18.00,18.00,25.00
9/14/2024,Gabi (bisol),35.00,50.00,20.00
9/14/2024,Kamote,40.00,45.00,30.00
9/14/2024,Karlang,25.00,60.00,29.00
9/14/2024,Cassava,18.00,18.00,25.00
9/13/2024,Gabi (bisol),35.00,50.00,20.00
9/13/2024,Kamote,40.00,45.00,30.00
9/13/2024,Karlang,25.00,50.00,25.00
9/13/2024,Cassava,18.00,18.00,25.00
9/12/2024,Gabi (bisol),35.00,70.00,20.00
9/12/2024,Kamote,40.00,50.00,30.00
9/12/2024,Karlang,30.00,60.00,25.00
9/12/2024,Cassava,18.00,18.00,25.00
9/11/2024,Gabi (bisol),35.00,70.00,20.00
9/11/2024,Kamote,40.00,50.00,30.00
9/11/2024,Karlang,35.00,60.00,25.00
9/11/2024,Cassava,18.00,25.00,25.00
9/10/2024,Gabi (bisol),35.00,55.00,20.00
9/10/2024,Kamote,40.00,60.00,27.00
9/10/2024,Karlang,25.00,50.00,25.00
9/10/2024,Cassava,18.00,25.00,25.00
9/9/2024,Gabi (bisol),35.00,70.00,20.00
9/9/2024,Kamote,40.00,40.00,27.00
9/9/2024,Karlang,20.00,60.00,25.00
9/9/2024,Cassava,18.00,18.00,25.00
9/8/2024,Gabi (bisol),35.00,70.00,20.00
9/8/2024,Kamote,40.00,40.00,27.00
9/8/2024,Karlang,20.00,60.00,25.00
9/8/2024,Cassava,18.00,18.00,25.00
9/7/2024,Gabi (bisol),35.00,60.00,20.00
9/7/2024,Kamote,40.00,40.00,27.00
9/7/2024,Karlang,20.00,50.00,25.00
9/7/2024,Cassava,18.00,18.00,25.00
9/6/2024,Gabi (bisol),35.00,60.00,20.00
9/6/2024,Kamote,40.00,45.00,27.00
9/6/2024,Karlang,20.00,55.00,25.00
9/6/2024,Cassava,18.00,18.00,27.00
9/5/2024,Gabi (bisol),35.00,50.00,20.00
9/5/2024,Kamote,40.00,45.00,27.00
9/5/2024,Karlang,25.00,50.00,25.00
9/5/2024,Cassava,18.00,20.00,25.00
9/4/2024,Gabi (bisol),35.00,50.00,20.00
9/4/2024,Kamote,40.00,50.00,27.00
9/4/2024,Karlang,20.00,50.00,25.00
9/4/2024,Cassava,18.00,25.00,25.00
9/3/2024,Gabi (bisol),35.00,70.00,27.00
9/3/2024,Kamote,40.00,50.00,32.00
9/3/2024,Karlang,25.00,60.00,34.00
9/3/2024,Cassava,18.00,25.00,27.00
9/2/2024,Gabi (bisol),35.00,60.00,25.00
9/2/2024,Kamote,40.00,45.00,32.00
9/2/2024,Karlang,25.00,50.00,35.00
9/2/2024,Cassava,18.00,18.00,27.00
9/1/2024,Gabi (bisol),35.00,60.00,27.00
9/1/2024,Kamote,40.00,45.00,32.00
9/1/2024,Karlang,25.00,55.00,35.00
9/1/2024,Cassava,18.00,18.00,25.00
8/31/2024,Gabi (bisol),35.00,50.00,25.00
8/31/2024,Kamote,40.00,45.00,32.00
8/31/2024,Karlang,25.00,40.00,35.00
8/31/2024,Cassava,18.00,20.00,35.00
8/30/2024,Gabi (bisol),35.00,50.00,25.00
8/30/2024,Kamote,40.00,45.00,25.00
8/30/2024,Karlang,25.00,50.00,35.00
8/30/2024,Cassava,18.00,18.00,25.00
8/29/2024,Gabi (bisol),35.00,50.00,25.00
8/29/2024,Kamote,40.00,45.00,25.00
8/29/2024,Karlang,25.00,40.00,36.00
8/29/2024,Cassava,18.00,18.00,35.00
8/28/2024,Gabi (bisol),33.00,50.00,25.00
8/28/2024,Kamote,40.00,45.00,25.00
8/28/2024,Karlang,25.00,45.00,30.00
8/28/2024,Cassava,18.00,18.00,33.00
8/27/2024,Gabi (bisol),35.00,55.00,25.00
8/27/2024,Kamote,40.00,50.00,25.00
8/27/2024,Karlang,25.00,40.00,30.00
8/27/2024,Cassava,18.00,25.00,35.00
8/26/2024,Gabi (bisol),35.00,60.00,25.00
8/26/2024,Kamote,40.00,45.00,25.00
8/26/2024,Karlang,25.00,45.00,30.00
8/26/2024,Cassava,18.00,18.00,35.00
8/25/2024,Gabi (bisol),40.00,65.00,25.00
8/25/2024,Kamote,40.00,40.00,25.00
8/25/2024,Karlang,30.00,45.00,30.00
8/25/2024,Cassava,18.00,18.00,35.00
8/24/2024,Gabi (bisol),40.00,60.00,25.00
8/24/2024,Kamote,40.00,30.00,36.00
8/24/2024,Karlang,30.00,45.00,30.00
8/24/2024,Cassava,18.00,18.00,35.00
8/23/2024,Gabi (bisol),40.00,60.00,25.00
8/23/2024,Kamote,40.00,45.00,36.00
8/23/2024,Karlang,30.00,50.00,30.00
8/23/2024,Cassava,18.00,20.00,35.00
8/22/2024,Gabi (bisol),35.00,60.00,25.00
8/22/2024,Kamote,40.00,40.00,36.00
8/22/2024,Karlang,30.00,50.00,30.00
8/22/2024,Cassava,18.00,20.00,35.00
8/21/2024,Gabi (bisol),35.00,70.00,25.00
8/21/2024,Kamote,40.00,60.00,40.00
8/21/2024,Karlang,25.00,70.00,30.00
8/21/2024,Cassava,18.00,25.00,35.00
8/20/2024,Gabi (bisol),35.00,50.00,25.00
8/20/2024,Kamote,40.00,50.00,40.00
8/20/2024,Karlang,25.00,50.00,30.00
8/20/2024,Cassava,18.00,25.00,25.00
8/19/2024,Gabi (bisol),30.00,60.00,24.00
8/19/2024,Kamote,40.00,40.00,40.00
8/19/2024,Karlang,35.00,50.00,30.00
8/19/2024,Cassava,18.00,20.00,27.00
8/18/2024,Gabi (bisol),30.00,70.00,25.00
8/18/2024,Kamote,40.00,35.00,40.00
8/18/2024,Karlang,35.00,50.00,30.00
8/18/2024,Cassava,18.00,18.00,25.00
8/17/2024,Gabi (bisol),30.00,60.00,45.00
8/17/2024,Kamote,40.00,35.00,30.00
8/17/2024,Karlang,35.00,40.00,28.00
8/17/2024,Cassava,18.00,20.00,20.00
8/16/2024,Gabi (bisol),30.00,70.00,45.00
8/16/2024,Kamote,40.00,40.00,30.00
8/16/2024,Karlang,35.00,50.00,28.00
8/16/2024,Cassava,18.00,20.00,20.00
8/15/2024,Gabi (bisol),30.00,70.00,45.00
8/15/2024,Kamote,40.00,40.00,30.00
8/15/2024,Karlang,35.00,50.00,28.00
8/15/2024,Cassava,18.00,25.00,20.00
8/14/2024,Gabi (bisol),30.00,70.00,45.00
8/14/2024,Kamote,40.00,40.00,30.00
8/14/2024,Karlang,35.00,70.00,28.00
8/14/2024,Cassava,18.00,25.00,20.00
8/13/2024,Gabi (bisol),30.00,70.00,45.00
8/13/2024,Kamote,40.00,50.00,30.00
8/13/2024,Karlang,35.00,40.00,28.00
8/13/2024,Cassava,18.00,25.00,20.00
8/12/2024,Gabi (bisol),30.00,60.00,45.00
8/12/2024,Kamote,40.00,40.00,30.00
8/12/2024,Karlang,35.00,50.00,28.00
8/12/2024,Cassava,18.00,18.00,20.00
8/11/2024,Gabi (bisol),30.00,60.00,45.00
8/11/2024,Kamote,40.00,40.00,30.00
8/11/2024,Karlang,35.00,45.00,28.00
8/11/2024,Cassava,18.00,18.00,20.00
8/10/2024,Gabi (bisol),30.00,60.00,45.00
8/10/2024,Kamote,40.00,40.00,30.00
8/10/2024,Karlang,35.00,50.00,28.00
8/10/2024,Cassava,18.00,18.00,20.00
8/9/2024,Gabi (bisol),30.00,60.00,45.00
8/9/2024,Kamote,40.00,35.00,30.00
8/9/2024,Karlang,35.00,50.00,28.00
8/9/2024,Cassava,18.00,18.00,20.00
8/8/2024,Gabi (bisol),30.00,60.00,45.00
8/8/2024,Kamote,40.00,40.00,30.00
8/8/2024,Karlang,35.00,50.00,28.00
8/8/2024,Cassava,18.00,20.00,20.00
8/7/2024,Gabi (bisol),30.00,75.00,45.00
8/7/2024,Kamote,40.00,55.00,30.00
8/7/2024,Karlang,35.00,70.00,25.00
8/7/2024,Cassava,18.00,25.00,20.00
8/6/2024,Gabi (bisol),30.00,70.00,45.00
8/6/2024,Kamote,40.00,50.00,30.00
8/6/2024,Karlang,35.00,60.00,25.00
8/6/2024,Cassava,18.00,20.00,20.00
8/5/2024,Gabi (bisol),30.00,70.00,45.00
8/5/2024,Kamote,40.00,40.00,30.00
8/5/2024,Karlang,35.00,50.00,20.00
8/5/2024,Cassava,18.00,18.00,20.00
8/4/2024,Gabi (bisol),30.00,70.00,45.00
8/4/2024,Kamote,40.00,35.00,30.00
8/4/2024,Karlang,35.00,50.00,25.00
8/4/2024,Cassava,18.00,18.00,20.00
8/3/2024,Gabi (bisol),30.00,40.00,45.00
8/3/2024,Kamote,40.00,18.00,30.00
8/3/2024,Karlang,35.00,70.00,25.00
8/3/2024,Cassava,18.00,18.00,20.00
8/2/2024,Gabi (bisol),30.00,70.00,45.00
8/2/2024,Kamote,40.00,50.00,32.00
8/2/2024,Karlang,30.00,60.00,25.00
8/2/2024,Cassava,18.00,18.00,20.00
8/1/2024,Gabi (bisol),30.00,70.00,45.00
8/1/2024,Kamote,40.00,50.00,32.00
8/1/2024,Karlang,30.00,60.00,25.00
8/1/2024,Cassava,18.00,20.00,20.00
7/31/2024,Gabi (bisol),30.00,60.00,45.00
7/31/2024,Kamote,40.00,35.00,32.00
7/31/2024,Karlang,30.00,50.00,28.00
7/31/2024,Cassava,18.00,20.00,20.00
7/30/2024,Gabi (bisol),40.00,70.00,45.00
7/30/2024,Kamote,40.00,40.00,32.00
7/30/2024,Karlang,35.00,70.00,28.00
7/30/2024,Cassava,18.00,25.00,20.00
7/29/2024,Gabi (bisol),40.00,70.00,45.00
7/29/2024,Kamote,40.00,35.00,32.00
7/29/2024,Karlang,25.00,50.00,28.00
7/29/2024,Cassava,18.00,18.00,20.00
7/28/2024,Gabi (bisol),40.00,70.00,45.00
7/28/2024,Kamote,40.00,40.00,32.00
7/28/2024,Karlang,25.00,50.00,28.00
7/28/2024,Cassava,18.00,18.00,20.00
7/27/2024,Gabi (bisol),40.00,70.00,45.00
7/27/2024,Kamote,40.00,35.00,32.00
7/27/2024,Karlang,25.00,45.00,28.00
7/27/2024,Cassava,18.00,18.00,20.00
7/26/2024,Gabi (bisol),40.00,70.00,45.00
7/26/2024,Kamote,40.00,35.00,32.00
7/26/2024,Karlang,25.00,40.00,28.00
7/26/2024,Cassava,18.00,18.00,20.00
7/25/2024,Gabi (bisol),40.00,90.00,45.00
7/25/2024,Kamote,40.00,50.00,32.00
7/25/2024,Karlang,17.00,40.00,20.00
7/25/2024,Cassava,18.00,20.00,20.00
7/24/2024,Gabi (bisol),40.00,40.00,45.00
7/24/2024,Kamote,18.00,50.00,32.00
7/24/2024,Karlang,17.00,35.00,20.00
7/24/2024,Cassava,18.00,18.00,20.00
7/23/2024,Gabi (bisol),40.00,70.00,45.00
7/23/2024,Kamote,18.00,50.00,32.00
7/23/2024,Karlang,17.00,25.00,20.00
7/23/2024,Cassava,18.00,18.00,20.00
7/22/2024,Gabi (bisol),40.00,18.00,45.00
7/22/2024,Kamote,18.00,34.00,32.00
7/22/2024,Karlang,17.00,30.00,20.00
7/22/2024,Cassava,18.00,8.00,20.00
7/21/2024,Gabi (bisol),40.00,18.00,45.00
7/21/2024,Kamote,18.00,34.00,32.00
7/21/2024,Karlang,17.00,30.00,20.00
7/21/2024,Cassava,18.00,8.00,20.00
7/20/2024,Gabi (bisol),40.00,18.00,45.00
7/20/2024,Kamote,18.00,34.00,32.00
7/20/2024,Karlang,17.00,30.00,20.00
7/20/2024,Cassava,18.00,8.00,20.00
7/19/2024,Gabi (bisol),40.00,60.00,45.00
7/19/2024,Kamote,18.00,34.00,32.00
7/19/2024,Karlang,17.00,30.00,20.00
